;DT;RV1;RV5;BPV1;BPV5;medRV1;medRV5;RK1;RK5;RQ1;RQ5;medRQ1;medRQ5;CLOSE
1;02/01/2014;2.68E-05;2.57E-05;2.54E-05;2.37E-05;2.45E-05;1.93E-05;2.59E-05;2.64E-05;0.053415151;0.054262412;0.047281224;0.047281224;182.95
2;03/01/2014;1.58E-05;1.78E-05;1.55E-05;1.67E-05;1.54E-05;1.63E-05;1.60E-05;1.63E-05;0.030206766;0.030377832;0.029600676;0.029600676;182.8
3;06/01/2014;2.72E-05;2.56E-05;2.18E-05;1.89E-05;2.24E-05;1.64E-05;3.20E-05;2.59E-05;0.062052227;0.050008083;0.041934338;0.041934338;182.4
4;07/01/2014;1.08E-05;9.95E-06;1.00E-05;9.75E-06;1.06E-05;9.32E-06;9.42E-06;9.96E-06;0.021345097;0.016951137;0.020690172;0.020690172;183.45
5;08/01/2014;3.11E-05;2.68E-05;2.58E-05;2.35E-05;2.64E-05;2.32E-05;1.98E-05;1.94E-05;0.088923142;0.053808771;0.082338541;0.082338541;183.53
6;09/01/2014;2.32E-05;1.87E-05;1.98E-05;1.11E-05;2.04E-05;1.01E-05;1.91E-05;2.14E-05;0.047099646;0.043293585;0.045271932;0.045271932;183.63
7;10/01/2014;2.93E-05;2.03E-05;2.77E-05;1.55E-05;2.83E-05;1.76E-05;2.43E-05;1.84E-05;0.064735552;0.035671161;0.061748821;0.061748821;184.07
8;13/01/2014;2.86E-05;2.28E-05;2.61E-05;2.24E-05;2.67E-05;2.12E-05;2.76E-05;2.46E-05;0.058605533;0.038073308;0.052334297;0.052334297;181.72
9;14/01/2014;2.21E-05;2.02E-05;1.82E-05;1.92E-05;1.76E-05;2.15E-05;2.23E-05;1.77E-05;0.058167358;0.035800633;0.039207289;0.039207289;183.68
10;15/01/2014;1.68E-05;1.51E-05;1.58E-05;1.34E-05;1.56E-05;1.12E-05;1.73E-05;1.67E-05;0.033509081;0.035493484;0.029743255;0.029743255;184.67
11;16/01/2014;1.59E-05;1.29E-05;1.68E-05;1.26E-05;1.78E-05;1.29E-05;1.24E-05;1.01E-05;0.027695424;0.021194116;0.035386984;0.035386984;184.4
12;17/01/2014;1.49E-05;1.29E-05;1.39E-05;8.87E-06;1.33E-05;7.81E-06;1.21E-05;1.03E-05;0.038233962;0.031949325;0.028187914;0.028187914;183.61
13;21/01/2014;2.33E-05;2.74E-05;2.18E-05;2.11E-05;1.97E-05;2.21E-05;2.57E-05;3.39E-05;0.055118386;0.072748683;0.048358871;0.048358871;184.195
14;22/01/2014;1.41E-05;1.04E-05;1.38E-05;9.98E-06;1.30E-05;8.83E-06;9.59E-06;1.22E-05;0.0289015;0.018636283;0.024443395;0.024443395;184.35
15;23/01/2014;2.93E-05;2.55E-05;2.69E-05;2.52E-05;2.69E-05;2.65E-05;2.72E-05;2.30E-05;0.058613436;0.042001363;0.052602358;0.052602358;182.78
16;24/01/2014;5.86E-05;5.62E-05;5.43E-05;4.55E-05;5.57E-05;4.59E-05;4.45E-05;3.46E-05;0.120585059;0.101645753;0.126722798;0.126722798;178.89
17;27/01/2014;7.06E-05;7.15E-05;6.80E-05;8.25E-05;7.00E-05;7.93E-05;7.84E-05;6.84E-05;0.123548256;0.095106811;0.124969232;0.124969232;178.01
18;28/01/2014;3.36E-05;3.02E-05;3.21E-05;2.19E-05;3.06E-05;3.14E-05;3.13E-05;2.05E-05;0.063248819;0.051896157;0.052923121;0.052923121;179.07
19;29/01/2014;0.000101928;7.23E-05;0.000103845;8.05E-05;9.78E-05;7.90E-05;7.78E-05;7.12E-05;0.224405531;0.117968698;0.218537332;0.218537332;177.32
20;30/01/2014;2.91E-05;2.20E-05;2.78E-05;2.08E-05;2.51E-05;2.05E-05;2.62E-05;2.19E-05;0.065741762;0.034974951;0.051355394;0.051355394;179.32
21;31/01/2014;5.39E-05;5.84E-05;4.90E-05;5.11E-05;4.71E-05;4.80E-05;6.33E-05;5.62E-05;0.110549101;0.102554603;0.088917419;0.088917419;178.1
22;03/02/2014;8.79E-05;9.75E-05;7.55E-05;9.98E-05;7.36E-05;0.000108813;9.03E-05;8.85E-05;0.256425489;0.164247818;0.124634282;0.124634282;174.17
23;04/02/2014;5.66E-05;5.18E-05;5.72E-05;5.42E-05;5.76E-05;5.13E-05;5.69E-05;5.75E-05;0.101677314;0.090043158;0.09760509;0.09760509;175.39
24;05/02/2014;8.27E-05;8.62E-05;7.99E-05;9.32E-05;7.19E-05;8.70E-05;8.77E-05;6.10E-05;0.210579944;0.183346773;0.160565761;0.160565761;175.14
25;06/02/2014;2.56E-05;2.68E-05;2.47E-05;2.28E-05;2.60E-05;2.05E-05;2.42E-05;2.98E-05;0.050812459;0.071319327;0.04924589;0.04924589;177.42
